decision reason name;decision reason description
minimum outcome;The reason considers the minimum outcome of each lottery. The reason prefers the lottery with the more favorable minimum outcome.
maximum outcome;The reason considers the maximum outcome of each lottery. The reason prefers the lottery with the more favorable maximum outcome.
higher maximum probability;The reason considers the maximum probability of each lottery. The reason prefers the lottery with the higher value of maximum probability.
lower maximum probability;The reason considers the maximum probability of each lottery. The reason prefers the lottery with the lower value of maximum probability.
higher minimum probability;The reason considers the minimum probability of each lottery. The reason prefers the lottery with the higher value of minimum probability.
lower minimum probability;The reason considers the minimum probability of each lottery. The reason prefers the lottery with the lower value of minimum probability.
higher minimum outcome probability;The reason considers the probability of the minimum outcome of each lottery. The reason prefers the lottery with the higher probability of the minimum outcome.
lower minimum outcome probability;The reason considers the probability of the minimum outcome of each lottery. The reason prefers the lottery with the lower probability of the minimum outcome.
higher maximum outcome probability;The reason considers the probability of the maximum outcome of each lottery. The reason prefers the lottery with the higher probability of the maximum outcome.
lower maximum outcome probability;The reason considers the probability of the maximum outcome of each lottery. The reason prefers the lottery with the lower probability of the maximum outcome.
zero outcome presence;The reason considers the presence of a zero outcome in each lottery. The reason prefers the lottery with a zero outcome.
zero outcome absence;The reason considers the presence of a zero outcome in each lottery. The reason prefers the lottery without a zero outcome.
least likely outcome;The reason considers the least probable outcomes, that is the most favorable outcome with the lowest (minimum) probability of each lottery. The reason prefers the lottery with the more favorable least probable outcome.
most likely outcome;The reason considers the most probable outcomes, that is the most favorable outcome with the highest (maximum) probability of each lottery. The reason prefers the lottery with the more favorable most probable outcome. 
higher zero outcome probability;The reason considers the probability of a zero outcome of each lottery. The reason prefers the lottery with the higher probability of the zero outcome.
lower zero outcome probability;The reason considers the probability of a zero outcome of each lottery. The reason prefers the lottery with the lower probability of the zero outcome.
sure outcome presence;The reason considers the presence of a sure outcome in each lottery. The reason prefers the lottery with a sure outcome.
sure outcome absence;The reason considers the presence of a sure outcome in each lottery. The reason prefers the lottery without a sure outcome.
sum of outcomes;The reason considers the sum of all outcomes of each lottery, which is calculated by adding the outcomes of each lottery independent of their probabilities. The reason prefers the lottery with the higher outcome sum.
large outcome range;The reason considers the difference between the maximum and minimum outcome of each lottery. The reason prefers the lottery with the larger difference between the minimum and the maximum outcome.
small outcome range;The reason considers the difference between the maximum and minimum outcome of each lottery. The reason prefers the lottery with the smaller difference between the minimum and the maximum outcome.
large probability range;The reason considers the difference between the minimum and maximum probability of each lottery. The reason prefers the lottery with the larger difference between the minimum and maximum probability.
small probability range;The reason considers the difference between the minimum and maximum probability of each lottery. The reason prefers the lottery with the smaller difference between the minimum and maximum probability.
large variance;The reason considers the variance of each lottery. The reason prefers the lottery with the larger variance.
small variance;The reason considers the variance of each lottery. The reason prefers the lottery with the smaller variance.
mean outcome;The reason considers the mean of all outcomes of each lottery, which is calculated by adding the outcomes of each lottery independent of their probabilities and dividing by the number of outcomes. The reason prefers the lottery with the higher mean outcome.
