"id","choice_problem"
1,"Lottery A:
2500 Euros with 33% probability
2400 Euros with 66% probability
0 Euros with 1% probability

Lottery B:
2400 Euros with 100% probability"
2,"Lottery A:
2500 Euros with 33% probability
0 Euros with 67% probability

Lottery B:
2400 Euros with 34% probability
0 Euros with 66% probability"
3,"Lottery A:
4000 Euros with 80% probability
0 Euros with 20% probability

Lottery B:
3000 Euros with 100% probability"
4,"Lottery A:
4000 Euros with 20% probability
0 Euros with 80% probability

Lottery B:
3000 Euros with 25% probability
0 Euros with 75% probability"
5,"Lottery A:
6000 Euros with 45% probability
0 Euros with 55% probability

Lottery B:
3000 Euros with 90% probability
0 Euros with 10% probability"
6,"Lottery A:
6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
7,"Lottery A:
-4000 Euros with 80% probability
0 Euros with 20% probability

Lottery B:
-3000 Euros with 100% probability"
8,"Lottery A:
-4000 Euros with 20% probability
0 Euros with 80% probability

Lottery B:
-3000 Euros with 25% probability
0 Euros with 75% probability"
9,"Lottery A:
-6000 Euros with 45% probability
0 Euros with 55% probability

Lottery B:
-3000 Euros with 90% probability
0 Euros with 10% probability"
10,"Lottery A:
-6000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
-3000 Euros with 0.2% probability
0 Euros with 99.8% probability"
11,"Lottery A:
1000 Euros with 50% probability
0 Euros with 50% probability

Lottery B:
500 Euros with 100% probability"
12,"Lottery A:
-1000 Euros with 50% probability
0 Euros with 50% probability

Lottery B:
-500 Euros with 100% probability"
13,"Lottery A:
6000 Euros with 25% probability
0 Euros with 75% probability

Lottery B:
4000 Euros with 25% probability
2000 Euros with 25% probability
0 Euros with 50% probability"
14,"Lottery A:
-6000 Euros with 25% probability
0 Euros with 75% probability

Lottery B:
-4000 Euros with 25% probability
-2000 Euros with 25% probability
0 Euros with 50% probability"
15,"Lottery A:
5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
5 Euros with 100% probability"
16,"Lottery A:
-5000 Euros with 0.1% probability
0 Euros with 99.9% probability

Lottery B:
-5 Euros with 100% probability"
17,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
1500 Euros with 100% probability"
18,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
2000 Euros with 100% probability"
19,"Lottery A:
3000 Euros with 50% probability
-3000 Euros with 50% probability

Lottery B:
1000 Euros with 100% probability"
20,"Lottery A:
6000 Euros with 50% probability
-6000 Euros with 50% probability

Lottery B:
0 Euros with 100% probability"
