"subject_id","problemID","session","response","left_lottery"
1,1,1,"Ich habe mir die Beträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt die eine Gewinnchance von 100 % hat","a"
1,2,1,"Ich habe mir die Wahrscheinlichkeiten und Gewinne angeschaut und die Lotterie gewählt bei der es wahrscheinlicher ist einen Gewinn zu erzielen","a"
1,3,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt bei der ein Gewinn sicher ist.","b"
1,4,1,"Ich habe mir die Beträge angeschaut und die Lotterie gewählt mit der ich den höheren Betrag gewinnen könnte","a"
1,5,1,"Ich habe mir die Beträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt bei der ein Gewinn wahrscheinlicher ist","a"
1,6,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, die den höheren Gewinn verspricht, da die Wahrscheinlichkeit bei beiden Lotterien einen Gewinn zu erzielen ähnlich gering ist.","b"
1,7,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, die die Möglichkeit besitzt keinen Verlust zu erzielen. Zumal ich den Unterschied zwischen 3000 und 4000 Euro Verlust nicht zu immanent fand.","a"
1,8,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, bei der es wahrscheinlicher ist kein Verlust zu erzielen","b"
1,9,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, bei der es wahrscheinlicher ist kein Verlust zu erzielen","a"
1,10,1,"Ich habe mir die Wahrscheinlichkeiten und Gewinne angeschaut und diejenige gewählt bei der die Wahrscheinlichkeit höher ist, kein Verlust zu erzielen","a"
1,11,1,"Ich habe mir alle Wahrscheinlichkeiten und Beträge angeschaut und die Lotterie gewählt, bei der ein Gewinn definitiv eintrifft","b"
1,12,1,"Ich habe mir die Wahrscheinlichkeiten und Beträge angeschaut und eine Risikoentscheidung getroffen, da es hier möglich ist keinen Verlust zu erzielen","b"
1,13,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, bei der es mehr Ereignisse gibt die einen Gewinn versprechen trotz gleicher Wahrscheinlichkeiten auf einen Gewinn im Vergleich mit der anderen Lotterie","b"
1,14,1,"Ich habe mir alle Beträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt bei der es am wahrscheinlichsten ist kein Verlust zu erzielen","b"
1,15,1,"Ich habe mir die Wahrscheinlichkeiten und Beträge alle angeschaut und die gewählt bei der definitiv ein Gewinn erwartet wird","b"
1,16,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, bei der es wahrscheinlicher ist keine Verlust zu erzielen","b"
1,17,1,"Ich habe mir die Wahrscheinlichkeiten und Beträge angeschaut und diejenige gewählt bei der ein Gewinn sicher ist","b"
1,18,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, bei der sicher ein Gewinn zu erwarten ist.","b"
1,19,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, bei der ich sicher einen Gewinn erziele","a"
1,20,1,"Ich habe mir alle Beiträge und Wahrscheinlichkeiten angeschaut und die Lotterie gewählt, die es sicher erscheinen lässt, dass ich keine Verlust erziele","b"
2,1,1,"Da es zumindest keine Verluste bei Lotterie B gab, habe ich mich in dem Fall dafür entschieden, da die Wahrscheinlichkeit von 0€ ja äußerst gering ist und die möglichen 100€ ja nicht ganz unwahrscheinlich sind","b"
2,2,1,"Da der Unterschied von 100€ in den Größenverhältnissen der Lotterien nicht allzu groß ist, habe ich mich hierbei für die risikofreudigere Variante entschieden, da der Unterschied der Wahrscheinlichkeit von einem Prozent schließlich auch nicht groß war","b"
2,3,1,"hier wieder mehr Sicherheitsbedürfnis und das Gefühl, das Glück nicht aufs Spiel setzen zu wollen mit den 20% icht-gewinn bei Lotterie B (auch da es sich um relativ hohe Summen handelt -> besser haben als Spielen)","b"
2,4,1,"in dem Fall potentiell höherer Gewinn bei Lotterie B angelockt, da Wahrscheinlichkeitsunterschied von 5% nicht so groß erscheint","b"
2,5,1,"Die 90% bei Lotterie waren sehr verlockend, sodass der doppelt so hohe Gewinn auf der anderen Seite nicht locken konnte; außerdem war bei B bschreckend, dass es unter 50% waren","b"
2,6,1,"Da Wahrscheinlichkeit des Gewinns sowieso verschwindend gering war das Gefühl, dass es relativ egal ist und ich dann ja auch auf den höheren Gewinn setzen kann","b"
2,7,1,"Auch wenn definitiver Verlust unattraktiv ist, erschienen mir die 20% für icht-Verlust bei Lotterie B nicht die 1000€ mehr verlust in dieser Lotterie wert","b"
2,8,1,"Unsicherheit, inwiefern mich die 5% Unterschied beeinflussen; letztendlich für die kleinere Verlustsumme entschieden (vermutlich weil 4000€ doch erschreckend viel klingt)","b"
2,9,1,"erst Ergebnisse angeschaut, dann große Unsicherheit, da bei B zwar nur halb so hoher Verlust, aber eben große Wahrscheinlichkeit, deshalb nach längerem Zögern für A entschieden, da Wahrscheinlichkeit immerhin unter 50%","a"
2,10,1,"Der mögliche Verlust von 6000€ bei Lotterie A ist definitiv eängstigender, zumal der Unterschied der Wahrscheinlichkeiten ja wirklich äußerst minimal ist","a"
2,11,1,"anders als bei den Lotterien vor ein paar Durchgängen mit Verlusten in beiden Lotterien, erscheint mir hier attraktiver, sicher Geld zu bekommen (das zusätzliche Guthaben hat mich in diesem Fall nicht risikobereiter gemacht)","a"
2,12,1,"Unsicherheit, inwiefern mein momentanes Guthaben relevant für meine Entscheidungen ist; Beeinflussung durch Zusatzguthaben und möglicherweise dadurch, isikofreudigere Variante B genommen; zu 100% Verlust zu haben (Variante A) ist nicht gerade attraktiv","b"
