"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","response","phase","accuracy","events","order","problemID","input","choice","choicePosition","lottery","session","left_lottery","sex","education","age"
"survey",48,1299147,"0.0-45.0",1,7707,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""25"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",25
"survey",48,2436231,"0.0-45.0",2,7820,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""26"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",26
"survey",48,2479032,"0.0-45.0",3,14606,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""26"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",26
"survey",48,1237269,"0.0-45.0",4,69716,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""41"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",41
"survey",48,1955686,"0.0-45.0",5,11553,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""33"",""q_education"":""Anderer""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Anderer",33
"survey",48,5047611,"0.0-45.0",6,13249,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""19"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","(Fach-) Abitur",19
"survey",48,2255674,"0.0-45.0",7,12600,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""26"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",26
"survey",48,2382021,"0.0-45.0",8,9185,"","{""P0_Q0"":null,""q_sex"":""Weiblich"",""q_age"":""25"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Weiblich","Bachelor oder Master",25
"survey",48,1751993,"0.0-45.0",9,41968,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""26"",""q_education"":""(Fach-) Abitur""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","(Fach-) Abitur",26
"survey",48,3230910,"0.0-45.0",10,6523,"","{""P0_Q0"":null,""q_sex"":""M\u00e4nnlich"",""q_age"":""35"",""q_education"":""Bachelor oder Master""}","end_survey","[]","","",NA,"","","","",1,"","Männlich","Bachelor oder Master",35
