"y","aX1","aX2","aX3","bX1","bX2","bX3","aP1","aP2","aP3","bP1","bP2","bP3","problemID","subject_id","left_lottery","domain","type","session"
0,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,1,"a","gain","risk_safe",1
0,2500,0,0,2400,0,0,33,67,0,34,66,0,2,1,"a","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,1,"b","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,1,"a","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,1,"a","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,1,"b","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,1,"a","loss","risk_safe",1
1,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,1,"b","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,1,"a","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,1,"a","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,1,"b","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,1,"b","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,1,"b","gain","risk_risk",1
1,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,1,"b","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,1,"b","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,1,"b","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,1,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,1,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,1,"a","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,1,"b","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,2,"b","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,2,"b","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,2,"b","gain","risk_safe",1
1,4000,0,0,3000,0,0,20,80,0,25,75,0,4,2,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,2,"b","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,2,"b","gain","risk_risk",1
0,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,2,"b","loss","risk_safe",1
0,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,2,"b","loss","risk_risk",1
1,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,2,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,2,"a","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,2,"a","gain","risk_safe",1
1,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,2,"b","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,2,"a","gain","risk_risk",1
0,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,2,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,2,"b","gain","risk_safe",1
0,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,2,"b","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,2,"a","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,2,"a","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,2,"b","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,2,"b","mixed","risk_safe",1
1,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,3,"b","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,3,"b","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,3,"a","gain","risk_safe",1
0,4000,0,0,3000,0,0,20,80,0,25,75,0,4,3,"a","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,3,"a","gain","risk_risk",1
1,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,3,"b","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,3,"a","loss","risk_safe",1
0,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,3,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,45,55,0,90,10,0,9,3,"a","loss","risk_risk",1
0,-6000,0,0,-3000,0,0,0.1,99.9,0,0.2,99.8,0,10,3,"b","loss","risk_risk",1
0,1000,0,0,500,0,0,50,50,0,100,0,0,11,3,"a","gain","risk_safe",1
0,-1000,0,0,-500,0,0,50,50,0,100,0,0,12,3,"a","loss","risk_safe",1
0,6000,0,0,4000,2000,0,25,75,0,25,25,50,13,3,"b","gain","risk_risk",1
0,-6000,0,0,-4000,-2000,0,25,75,0,25,25,50,14,3,"a","loss","risk_risk",1
0,5000,0,0,5,0,0,0.1,99.9,0,100,0,0,15,3,"a","gain","risk_safe",1
1,-5000,0,0,-5,0,0,0.1,99.9,0,100,0,0,16,3,"b","loss","risk_safe",1
0,3000,-3000,0,1500,0,0,50,50,0,100,0,0,17,3,"b","mixed","risk_safe",1
0,3000,-3000,0,2000,0,0,50,50,0,100,0,0,18,3,"b","mixed","risk_safe",1
0,3000,-3000,0,1000,0,0,50,50,0,100,0,0,19,3,"b","mixed","risk_safe",1
0,6000,-6000,0,0,0,0,50,50,0,100,0,0,20,3,"a","mixed","risk_safe",1
0,2500,2400,0,2400,0,0,33,66,1,100,0,0,1,4,"b","gain","risk_safe",1
1,2500,0,0,2400,0,0,33,67,0,34,66,0,2,4,"b","gain","risk_risk",1
0,4000,0,0,3000,0,0,80,20,0,100,0,0,3,4,"a","gain","risk_safe",1
0,4000,0,0,3000,0,0,20,80,0,25,75,0,4,4,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,45,55,0,90,10,0,5,4,"b","gain","risk_risk",1
0,6000,0,0,3000,0,0,0.1,99.9,0,0.2,99.8,0,6,4,"a","gain","risk_risk",1
1,-4000,0,0,-3000,0,0,80,20,0,100,0,0,7,4,"a","loss","risk_safe",1
1,-4000,0,0,-3000,0,0,20,80,0,25,75,0,8,4,"b","loss","risk_risk",1
