"problemID","aspiration_level","consequence_count","disappointment","expected_value","higher_maximum_outcome_probability","higher_maximum_probability","higher_minimum_outcome_probability","higher_minimum_probability","higher_zero_outcome_probability","importance_sampling","large_outcome_range","large_probability_range","large_variance","least_likely_outcome","left_skewness","loss_aversion","loss_avoidance","lower_maximum_outcome_probability","lower_maximum_probability","maximum_outcome","maximum_outcome_expectation","mean_of_probable_outcomes","mean_outcome","minimum_outcome","minimum_outcome_expectation","most_likely_outcome","outcome_neglect","outcome_sensitivity","outcomes_better_than_average","probability_neglect","probability_sensitivity","reference_point","regret","right_skewness","segregation","small_outcome_range","small_probability_overweighting","small_probability_range","small_variance","sum_of_outcomes","sure_outcome_absence","sure_outcome_presence","zero_outcome_absence","zero_outcome_presence"
1,0,2,16,4,8,18,18,26,0,0,2,0,0,4,3,27,38,0,0,13,0,3,0,38,4,7,31,13,0,23,35,11,0,0,6,16,1,3,22,1,0,41,34,0
2,0,15,0,6,19,17,0,17,0,18,6,0,0,13,12,3,6,1,2,35,2,0,0,0,0,17,24,43,0,51,23,7,4,0,0,0,0,0,0,11,0,1,0,1
3,0,1,36,3,26,37,36,51,0,3,0,0,2,10,8,45,60,2,0,5,4,1,0,59,5,5,34,5,0,2,58,9,0,0,10,34,0,7,44,0,1,66,57,0
4,0,8,0,9,21,15,0,21,0,17,8,1,2,10,11,3,5,4,0,28,11,0,1,0,1,6,30,32,0,40,31,13,2,0,2,0,0,1,0,7,1,0,0,0
5,0,0,1,1,53,53,0,53,0,5,1,1,2,3,31,19,45,0,0,8,0,16,0,1,2,37,62,12,0,3,69,2,0,1,2,2,0,0,10,1,1,31,4,0
6,1,28,1,1,15,8,2,14,1,20,28,0,3,35,11,2,2,2,2,55,0,1,0,1,1,8,18,53,0,54,17,1,13,2,0,0,1,0,0,27,0,0,1,0
7,3,6,2,4,21,1,3,10,43,5,2,0,0,45,21,27,32,10,0,34,0,2,0,20,2,6,40,36,0,31,43,6,0,8,6,4,1,0,4,0,45,8,2,53
8,2,21,25,8,21,14,7,12,16,28,0,0,0,17,11,39,30,11,6,5,6,0,0,36,9,18,20,36,0,27,23,19,2,1,11,21,3,1,0,5,0,9,0,9
9,4,9,10,1,32,6,21,19,16,5,0,0,1,11,15,20,37,5,2,2,0,1,0,12,0,24,27,10,0,1,30,4,0,1,6,5,0,0,4,0,2,6,2,19
10,2,35,43,1,5,7,7,5,7,22,1,0,1,32,12,65,17,3,5,33,0,0,0,58,1,11,14,55,0,36,6,7,7,3,15,40,0,0,12,8,0,3,1,8
11,1,2,34,0,27,52,52,59,0,0,0,0,1,4,6,48,69,1,0,4,0,0,0,67,18,23,39,3,0,4,62,8,0,1,15,33,0,7,39,0,1,73,62,1
12,2,4,7,2,19,2,6,7,44,8,0,0,0,18,16,26,33,5,4,24,1,0,0,25,0,32,30,29,0,35,38,3,1,0,9,8,1,1,8,0,39,16,1,46
13,2,3,0,1,0,9,3,26,0,4,1,0,0,1,22,7,23,0,4,8,3,0,0,1,0,7,67,8,0,6,67,2,0,0,1,1,0,0,3,0,1,6,11,1
14,0,12,18,2,29,25,11,14,29,9,0,0,0,6,10,35,46,3,1,5,1,0,1,25,7,23,39,18,0,9,42,3,0,1,4,14,0,0,5,0,0,15,3,30
15,0,1,9,1,41,31,32,42,0,1,6,0,2,10,3,19,49,0,0,18,0,23,1,44,13,50,45,22,0,10,54,12,0,1,13,7,1,1,23,1,2,51,30,0
16,1,7,15,0,17,5,9,6,22,8,0,0,0,6,10,39,40,3,0,3,0,10,0,34,0,32,23,7,0,13,32,5,1,2,10,14,0,0,22,0,5,28,1,18
17,0,3,47,8,14,42,44,56,20,0,0,0,1,1,13,59,75,0,0,1,0,12,1,67,20,22,46,3,0,0,71,25,0,0,18,38,0,5,54,2,1,75,25,8
18,2,5,40,9,23,47,31,49,10,2,0,0,0,0,17,56,74,0,0,1,0,9,2,65,10,21,44,2,0,1,71,25,1,1,12,32,1,2,55,0,0,80,28,6
19,2,0,39,11,16,47,40,57,14,3,0,0,1,1,11,60,69,0,0,4,1,9,2,69,16,20,43,8,0,1,67,21,0,0,17,37,1,1,46,0,2,74,22,8
20,0,2,34,0,3,6,35,26,32,3,0,0,3,1,1,68,65,2,0,5,0,0,0,62,31,11,12,8,0,6,17,5,0,0,11,34,0,0,46,0,6,53,4,40
