"problemID","aspiration_level","consequence_count","disappointment","expected_value","higher_maximum_outcome_probability","higher_maximum_probability","higher_minimum_outcome_probability","higher_minimum_probability","higher_zero_outcome_probability","importance_sampling","large_outcome_range","large_probability_range","large_variance","least_likely_outcome","left_skewness","loss_aversion","loss_avoidance","lower_maximum_outcome_probability","lower_maximum_probability","lower_minimum_outcome_probability","lower_minimum_probability","lower_zero_outcome_probability","maximum_outcome","maximum_outcome_expectation","mean_of_probable_outcomes","mean_outcome","minimum_outcome","minimum_outcome_expectation","most_likely_outcome","outcome_neglect","outcome_sensitivity","outcomes_better_than_average","probability_neglect","probability_sensitivity","reference_point","regret","right_skewness","segregation","small_outcome_range","small_probability_overweighting","small_probability_range","small_variance","sum_of_outcomes","sure_outcome_absence","sure_outcome_presence","zero_outcome_absence","zero_outcome_presence"
1,0,3,13,4,3,18,9,11,0,3,0,0,0,5,15,24,37,0,0,20,3,36,22,0,0,0,38,2,0,44,18,0,22,35,30,6,0,4,18,11,1,21,1,1,36,27,0
2,1,11,1,7,21,8,2,20,0,26,10,0,2,24,22,2,19,3,2,22,0,25,41,14,0,4,0,0,1,26,38,0,52,26,8,17,0,2,1,0,0,1,19,0,0,0,0
3,0,2,20,5,9,33,37,43,0,8,1,0,2,1,3,34,53,1,2,15,2,60,7,5,0,0,56,6,8,50,8,0,9,50,6,1,0,0,25,0,7,36,0,1,63,55,1
4,0,14,0,8,25,0,0,21,0,28,16,0,3,20,29,0,22,6,4,26,4,27,33,15,0,3,0,0,0,29,33,0,43,29,9,8,0,1,0,0,0,0,10,0,0,0,0
5,0,3,1,2,50,47,1,9,0,6,10,4,3,2,51,4,58,0,0,61,12,65,12,1,22,0,1,0,40,67,11,0,12,66,0,0,0,0,1,0,0,10,4,0,1,0,0
6,1,28,0,1,17,5,0,17,2,23,31,0,0,41,17,0,10,4,2,13,2,17,57,3,1,7,1,0,1,22,57,0,58,21,0,15,1,0,0,3,0,1,36,0,0,1,0
7,8,8,3,5,21,4,4,1,56,3,6,3,7,61,10,17,59,27,25,22,16,2,59,18,3,0,15,1,9,61,57,0,42,66,13,2,1,3,2,14,0,2,0,48,10,1,61
8,4,13,19,9,25,18,9,3,24,26,0,0,0,0,23,42,36,0,2,27,16,2,0,0,1,2,38,17,22,36,33,0,9,35,24,3,3,4,18,0,0,0,10,0,0,0,3
9,11,4,6,2,53,1,5,2,52,8,0,1,1,3,52,14,62,3,32,42,2,3,2,3,18,0,11,0,40,58,8,0,1,66,1,0,0,1,5,2,2,1,1,0,1,0,17
10,0,18,37,2,9,8,3,0,11,35,2,0,0,17,9,59,13,0,1,8,6,1,1,0,0,1,58,1,6,10,57,0,38,11,6,20,2,4,32,4,0,1,20,0,0,0,1
11,0,0,36,2,1,37,33,37,0,4,4,0,2,1,1,29,52,1,0,4,1,60,6,0,0,0,63,12,1,48,6,0,5,48,6,0,0,2,31,0,0,41,0,2,68,48,4
12,4,2,12,2,21,5,2,3,50,10,6,0,5,40,19,18,57,11,25,15,4,1,50,8,0,0,19,0,39,53,48,0,38,56,12,0,0,2,11,0,0,9,0,43,12,1,52
13,0,2,2,3,2,1,1,0,1,8,5,0,2,4,46,1,57,0,6,60,0,65,8,7,0,0,0,0,0,73,9,0,7,72,0,0,0,0,1,0,0,2,0,0,0,0,0
14,0,10,12,3,37,31,0,0,43,20,0,0,0,0,28,29,51,0,1,0,0,1,0,3,0,1,27,3,25,50,24,1,1,50,2,1,1,1,10,0,0,1,1,0,0,0,12
15,0,3,3,1,41,41,27,38,1,17,10,0,2,18,2,5,48,2,0,9,0,48,27,4,14,1,38,8,47,48,26,0,23,53,5,5,4,3,3,9,5,7,5,5,43,24,0
16,0,0,16,3,4,3,9,0,39,20,0,0,0,7,27,36,47,10,20,34,14,2,9,5,21,0,33,0,34,37,6,0,22,41,3,2,3,3,13,2,0,9,3,17,11,2,22
17,0,0,32,8,2,31,15,26,0,1,0,0,0,0,5,52,60,0,0,6,0,0,1,0,0,3,70,6,1,40,1,0,1,41,17,0,0,1,29,0,0,36,1,1,64,0,0
18,0,2,26,7,3,39,10,22,0,2,1,0,0,1,7,44,54,0,1,8,0,0,1,0,0,2,60,5,1,43,1,0,1,49,36,1,0,1,29,0,0,34,0,0,73,0,0
19,0,1,25,7,4,24,18,24,0,5,1,0,1,2,4,53,52,0,0,4,0,0,4,1,0,2,63,6,1,39,5,0,4,43,22,0,0,0,23,0,0,42,1,1,68,0,0
20,2,0,16,1,2,2,23,2,5,5,1,0,4,2,0,64,57,1,2,1,0,3,11,3,0,0,67,9,2,16,8,0,9,12,11,0,0,1,23,0,0,26,1,6,29,5,9
